,Year,Month,value
1,1949,January,112
2,1950,January,115
3,1951,January,145
4,1952,January,171
5,1953,January,196
6,1954,January,204
7,1955,January,242
8,1956,January,284
9,1957,January,315
10,1958,January,340
11,1959,January,360
12,1960,January,417
13,1949,February,118
14,1950,February,126
15,1951,February,150
16,1952,February,180
17,1953,February,196
18,1954,February,188
19,1955,February,233
20,1956,February,277
21,1957,February,301
22,1958,February,318
23,1959,February,342
24,1960,February,391
25,1949,March,132
26,1950,March,141
27,1951,March,178
28,1952,March,193
29,1953,March,236
30,1954,March,235
31,1955,March,267
32,1956,March,317
33,1957,March,356
34,1958,March,362
35,1959,March,406
36,1960,March,419
37,1949,April,129
38,1950,April,135
39,1951,April,163
40,1952,April,181
41,1953,April,235
42,1954,April,227
43,1955,April,269
44,1956,April,313
45,1957,April,348
46,1958,April,348
47,1959,April,396
48,1960,April,461
49,1949,May,121
50,1950,May,125
51,1951,May,172
52,1952,May,183
53,1953,May,229
54,1954,May,234
55,1955,May,270
56,1956,May,318
57,1957,May,355
58,1958,May,363
59,1959,May,420
60,1960,May,472
61,1949,June,135
62,1950,June,149
63,1951,June,178
64,1952,June,218
65,1953,June,243
66,1954,June,264
67,1955,June,315
68,1956,June,374
69,1957,June,422
70,1958,June,435
71,1959,June,472
72,1960,June,535
73,1949,July,148
74,1950,July,170
75,1951,July,199
76,1952,July,230
77,1953,July,264
78,1954,July,302
79,1955,July,364
80,1956,July,413
81,1957,July,465
82,1958,July,491
83,1959,July,548
84,1960,July,622
85,1949,August,148
86,1950,August,170
87,1951,August,199
88,1952,August,242
89,1953,August,272
90,1954,August,293
91,1955,August,347
92,1956,August,405
93,1957,August,467
94,1958,August,505
95,1959,August,559
96,1960,August,606
97,1949,September,136
98,1950,September,158
99,1951,September,184
100,1952,September,209
101,1953,September,237
102,1954,September,259
103,1955,September,312
104,1956,September,355
105,1957,September,404
106,1958,September,404
107,1959,September,463
108,1960,September,508
109,1949,October,119
110,1950,October,133
111,1951,October,162
112,1952,October,191
113,1953,October,211
114,1954,October,229
115,1955,October,274
116,1956,October,306
117,1957,October,347
118,1958,October,359
119,1959,October,407
120,1960,October,461
121,1949,November,104
122,1950,November,114
123,1951,November,146
124,1952,November,172
125,1953,November,180
126,1954,November,203
127,1955,November,237
128,1956,November,271
129,1957,November,305
130,1958,November,310
131,1959,November,362
132,1960,November,390
133,1949,December,118
134,1950,December,140
135,1951,December,166
136,1952,December,194
137,1953,December,201
138,1954,December,229
139,1955,December,278
140,1956,December,306
141,1957,December,336
142,1958,December,337
143,1959,December,405
144,1960,December,432
