ID,name,long,lat,Partic_Per,markerID
1,Barking and Dagenham,547831.4602,184840.2138,6,A
2,Barnet,524315.5618,192615.5189,14,B
3,Bexley,548677.3264,175278.6589,22,C
4,Brent,519890.8555,185395.4948,30,D
5,Bromley,541195.7183,166289.7295,38,E
6,Camden,528325.6834,185000.5123,46,F
7,Westminster,527393.9231,181299.0987,54,G
8,Croydon,532985.8955,163097.6504,62,H
9,Ealing,516686.4867,181672.0599,70,I
10,Enfield,531365.1372,196113.6177,78,J
11,Greenwich,541697.7171,176718.5034,86,K
12,Hackney,535000.704,184724.9389,94,L
13,Hammersmith and Fulham,523390.1976,178919.1049,6,M
14,Haringey,529897.8793,189371.3442,14,N
15,Harrow,515225.5084,189591.3127,22,O
16,Havering,554518.4439,186751.6899,30,P
17,Hillingdon,507538.7805,183446.3148,38,Q
18,Hounslow,513879.4231,175529.332,46,R
19,Islington,531758.6463,184485.3558,54,S
20,Kensington and Chelsea,525500.0828,179000.2022,62,T
21,Kingston upon Thames,519073.776,166979.0436,70,U
22,Lambeth,530806.9556,175224.28,78,V
23,Lewisham,538206.9758,174156.8641,86,W
24,Merton,525984.4424,169172.4397,94,X
25,Newham,541234.1377,183295.2057,10,Y
26,Redbridge,544099.2052,189257.1101,20,Z
27,Richmond upon Thames,517567.5471,173010.0208,30,a
28,Southwark,533733.5368,176738.1835,40,b
29,Sutton,526744.8986,163560.8748,50,c
30,Tower Hamlets,536856.9214,181352.3372,60,d
31,Waltham Forest,538298.4444,190773.3255,100,e
32,Wandsworth,526486.7088,174126.7026,0,f
33,City of London,532080.2267,181349.2962,70,g
