,long,lat,order,hole,piece,group,id,MB06,WARD06
1,2971147,6333096,1,FALSE,1,0.1,0,84,2803
2,2971177,6333128,2,FALSE,1,0.1,0,84,2803
3,2970882,6334691,3,FALSE,1,0.1,0,84,2803
4,2971627,6334745,4,FALSE,1,0.1,0,84,2803
5,2971741,6334907,5,FALSE,1,0.1,0,84,2803
6,2971796,6335200,6,FALSE,1,0.1,0,84,2803
7,2971853,6334948,7,FALSE,1,0.1,0,84,2803
8,2971999,6334899,8,FALSE,1,0.1,0,84,2803
9,2972098,6334917,9,FALSE,1,0.1,0,84,2803
10,2972436,6334716,10,FALSE,1,0.1,0,84,2803
11,2972532,6334742,11,FALSE,1,0.1,0,84,2803
12,2972576,6334721,12,FALSE,1,0.1,0,84,2803
13,2972723,6334785,13,FALSE,1,0.1,0,84,2803
14,2972831,6334814,14,FALSE,1,0.1,0,84,2803
15,2972903,6334804,15,FALSE,1,0.1,0,84,2803
16,2972922,6334825,16,FALSE,1,0.1,0,84,2803
17,2972974,6334837,17,FALSE,1,0.1,0,84,2803
18,2973056,6334806,18,FALSE,1,0.1,0,84,2803
19,2973337,6334878,19,FALSE,1,0.1,0,84,2803
20,2973406,6334853,20,FALSE,1,0.1,0,84,2803
21,2973514,6334902,21,FALSE,1,0.1,0,84,2803
22,2973660,6334826,22,FALSE,1,0.1,0,84,2803
23,2973698,6334781,23,FALSE,1,0.1,0,84,2803
24,2973827,6334706,24,FALSE,1,0.1,0,84,2803
25,2973813,6334650,25,FALSE,1,0.1,0,84,2803
26,2973825,6334615,26,FALSE,1,0.1,0,84,2803
27,2973881,6334589,27,FALSE,1,0.1,0,84,2803
28,2973968,6334600,28,FALSE,1,0.1,0,84,2803
29,2974052,6334599,29,FALSE,1,0.1,0,84,2803
30,2974107,6334621,30,FALSE,1,0.1,0,84,2803
31,2974129,6334733,31,FALSE,1,0.1,0,84,2803
32,2974235,6334774,32,FALSE,1,0.1,0,84,2803
33,2974296,6334764,33,FALSE,1,0.1,0,84,2803
34,2974361,6334776,34,FALSE,1,0.1,0,84,2803
35,2974480,6334760,35,FALSE,1,0.1,0,84,2803
36,2974571,6334797,36,FALSE,1,0.1,0,84,2803
37,2974635,6334775,37,FALSE,1,0.1,0,84,2803
38,2974686,6334779,38,FALSE,1,0.1,0,84,2803
39,2974730,6334738,39,FALSE,1,0.1,0,84,2803
40,2974786,6334724,40,FALSE,1,0.1,0,84,2803
41,2974827,6334840,41,FALSE,1,0.1,0,84,2803
42,2974947,6334877,42,FALSE,1,0.1,0,84,2803
43,2974996,6334982,43,FALSE,1,0.1,0,84,2803
44,2975014,6334993,44,FALSE,1,0.1,0,84,2803
45,2975034,6335013,45,FALSE,1,0.1,0,84,2803
46,2975078,6334991,46,FALSE,1,0.1,0,84,2803
47,2975112,6334984,47,FALSE,1,0.1,0,84,2803
48,2975155,6335003,48,FALSE,1,0.1,0,84,2803
49,2975195,6335005,49,FALSE,1,0.1,0,84,2803
50,2975223,6334999,50,FALSE,1,0.1,0,84,2803
51,2975234,6335013,51,FALSE,1,0.1,0,84,2803
52,2975211,6335080,52,FALSE,1,0.1,0,84,2803
53,2975218,6335112,53,FALSE,1,0.1,0,84,2803
54,2975317,6335042,54,FALSE,1,0.1,0,84,2803
55,2975507,6335118,55,FALSE,1,0.1,0,84,2803
56,2977028,6335725,56,FALSE,1,0.1,0,84,2803
57,2977146,6335871,57,FALSE,1,0.1,0,84,2803
58,2977344,6336392,58,FALSE,1,0.1,0,84,2803
59,2977396,6336363,59,FALSE,1,0.1,0,84,2803
60,2977913,6336732,60,FALSE,1,0.1,0,84,2803
61,2978045,6336873,61,FALSE,1,0.1,0,84,2803
62,2978169,6336728,62,FALSE,1,0.1,0,84,2803
63,2978207,6336625,63,FALSE,1,0.1,0,84,2803
64,2978504,6336255,64,FALSE,1,0.1,0,84,2803
65,2978880,6336222,65,FALSE,1,0.1,0,84,2803
66,2979095,6336264,66,FALSE,1,0.1,0,84,2803
67,2979111,6336270,67,FALSE,1,0.1,0,84,2803
68,2979114,6336349,68,FALSE,1,0.1,0,84,2803
69,2979080,6336417,69,FALSE,1,0.1,0,84,2803
70,2979091,6336490,70,FALSE,1,0.1,0,84,2803
71,2979139,6336625,71,FALSE,1,0.1,0,84,2803
72,2979141,6336646,72,FALSE,1,0.1,0,84,2803
73,2979242,6336991,73,FALSE,1,0.1,0,84,2803
74,2979252,6336984,74,FALSE,1,0.1,0,84,2803
75,2979273,6336977,75,FALSE,1,0.1,0,84,2803
76,2979304,6336962,76,FALSE,1,0.1,0,84,2803
77,2979365,6336942,77,FALSE,1,0.1,0,84,2803
78,2979380,6336940,78,FALSE,1,0.1,0,84,2803
79,2979405,6336942,79,FALSE,1,0.1,0,84,2803
80,2979411,6336939,80,FALSE,1,0.1,0,84,2803
81,2979441,6336942,81,FALSE,1,0.1,0,84,2803
82,2979465,6336937,82,FALSE,1,0.1,0,84,2803
83,2979480,6336932,83,FALSE,1,0.1,0,84,2803
84,2979542,6336895,84,FALSE,1,0.1,0,84,2803
85,2979594,6336849,85,FALSE,1,0.1,0,84,2803
86,2979611,6336838,86,FALSE,1,0.1,0,84,2803
87,2979615,6336833,87,FALSE,1,0.1,0,84,2803
88,2979650,6336815,88,FALSE,1,0.1,0,84,2803
89,2979670,6336798,89,FALSE,1,0.1,0,84,2803
90,2979697,6336783,90,FALSE,1,0.1,0,84,2803
91,2979703,6336776,91,FALSE,1,0.1,0,84,2803
92,2979722,6336766,92,FALSE,1,0.1,0,84,2803
93,2979743,6336762,93,FALSE,1,0.1,0,84,2803
94,2979790,6336781,94,FALSE,1,0.1,0,84,2803
95,2979807,6336788,95,FALSE,1,0.1,0,84,2803
96,2979814,6336788,96,FALSE,1,0.1,0,84,2803
97,2979847,6336780,97,FALSE,1,0.1,0,84,2803
98,2979866,6336782,98,FALSE,1,0.1,0,84,2803
99,2979885,6336781,99,FALSE,1,0.1,0,84,2803
100,2979909,6336770,100,FALSE,1,0.1,0,84,2803
101,2979928,6336750,101,FALSE,1,0.1,0,84,2803
102,2979937,6336730,102,FALSE,1,0.1,0,84,2803
